Parameters: 413588 Seed: 1234
Epoch		Loss(Tr)	mIOU (val)	lr
Epoch No.: 0	Train Loss = 2.3818	 mIOU(val) = 0.0952	 best_mIOU_val(val) = 0.0952	 best_mIOU_per_class(val) = [[np.float64(0.014715495151285894), np.float64(0.019109557795045223), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.6185790196145735), np.float64(0.0), np.float64(0.39454647191605574), np.float64(0.0), np.float64(0.0), np.float64(0.0)]]	 best_acc(val) = 0.1752	 lr= 0.001000 
Epoch No.: 7	Train Loss = 1.5195	 mIOU(val) = 0.3329	 best_mIOU_val(val) = 0.3329	 best_mIOU_per_class(val) = [[np.float64(0.8625331734148339), np.float64(0.6322549153188095), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.8288008085198337), np.float64(0.1797082378679255), np.float64(0.7259204760569452), np.float64(0.43282680216774816), np.float64(0.0), np.float64(0.0)]]	 best_acc(val) = 0.3981	 lr= 0.001000 

Epoch No.: 8	Train Loss = 1.4932	 mIOU(val) = 0.3466	 best_mIOU_val(val) = 0.3466	 best_mIOU_per_class(val) = [[np.float64(0.8585570553942712), np.float64(0.6428957205560939), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.8331262822960881), np.float64(0.30205623388781266), np.float64(0.7229122297067063), np.float64(0.4510377889452979), np.float64(0.0020866920499891376), np.float64(0.0)]]	 best_acc(val) = 0.4204	 lr= 0.001000 

Epoch No.: 9	Train Loss = 1.4811	 mIOU(val) = 0.3504	 best_mIOU_val(val) = 0.3504	 best_mIOU_per_class(val) = [[np.float64(0.8442340847452394), np.float64(0.651832201860701), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.8379793704356563), np.float64(0.3292656844749823), np.float64(0.728577222033414), np.float64(0.45476858143949167), np.float64(0.007565394137096461), np.float64(0.0)]]	 best_acc(val) = 0.4204	 lr= 0.001000 

Epoch No.: 10	Train Loss = 1.4686	 mIOU(val) = 0.3516	 best_mIOU_val(val) = 0.3516	 best_mIOU_per_class(val) = [[np.float64(0.8558605233689072), np.float64(0.6430653704409157), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.8451079860248386), np.float64(0.31445898122025034), np.float64(0.7172699779432281), np.float64(0.45844700214826695), np.float64(0.033147383485101226), np.float64(0.0)]]	 best_acc(val) = 0.4236	 lr= 0.000920 

Epoch No.: 11	Train Loss = 1.4739	 mIOU(val) = 0.3597	 best_mIOU_val(val) = 0.3597	 best_mIOU_per_class(val) = [[np.float64(0.8534233177544797), np.float64(0.6427915667393901), np.float64(0.0), np.float64(0.0), np.float64(6.249817713650018e-05), np.float64(0.830221612055015), np.float64(0.4056673621861749), np.float64(0.7060393757929037), np.float64(0.4558728365296627), np.float64(0.0631217568303661), np.float64(0.0)]]	 best_acc(val) = 0.4424	 lr= 0.000920 

Epoch No.: 12	Train Loss = 1.4607	 mIOU(val) = 0.3478	 best_mIOU_val(val) = 0.3597	 best_mIOU_per_class(val) = [[np.float64(0.8534233177544797), np.float64(0.6427915667393901), np.float64(0.0), np.float64(0.0), np.float64(6.249817713650018e-05), np.float64(0.830221612055015), np.float64(0.4056673621861749), np.float64(0.7060393757929037), np.float64(0.4558728365296627), np.float64(0.0631217568303661), np.float64(0.0)]]	 best_acc(val) = 0.4424	 lr= 0.000920 

Epoch No.: 13	Train Loss = 1.4619	 mIOU(val) = 0.3526	 best_mIOU_val(val) = 0.3597	 best_mIOU_per_class(val) = [[np.float64(0.8534233177544797), np.float64(0.6427915667393901), np.float64(0.0), np.float64(0.0), np.float64(6.249817713650018e-05), np.float64(0.830221612055015), np.float64(0.4056673621861749), np.float64(0.7060393757929037), np.float64(0.4558728365296627), np.float64(0.0631217568303661), np.float64(0.0)]]	 best_acc(val) = 0.4424	 lr= 0.000920 

Epoch No.: 14	Train Loss = 1.4535	 mIOU(val) = 0.3644	 best_mIOU_val(val) = 0.3644	 best_mIOU_per_class(val) = [[np.float64(0.8635855152235887), np.float64(0.6436647423411216), np.float64(0.03765500992063492), np.float64(0.0), np.float64(0.010856697252895994), np.float64(0.8535700169609933), np.float64(0.3225720384204909), np.float64(0.725574648469595), np.float64(0.478356555528609), np.float64(0.07262937113842963), np.float64(0.0)]]	 best_acc(val) = 0.4449	 lr= 0.000920 

Epoch No.: 15	Train Loss = 1.4478	 mIOU(val) = 0.3730	 best_mIOU_val(val) = 0.3730	 best_mIOU_per_class(val) = [[np.float64(0.8578955087742539), np.float64(0.6334322552686108), np.float64(0.02701600601698166), np.float64(0.0), np.float64(0.019722210065210213), np.float64(0.8418781758568741), np.float64(0.417909389612538), np.float64(0.735405987768847), np.float64(0.47271376069935966), np.float64(0.09714626388357611), np.float64(0.0)]]	 best_acc(val) = 0.4512	 lr= 0.000920 

Epoch No.: 16	Train Loss = 1.4353	 mIOU(val) = 0.3715	 best_mIOU_val(val) = 0.3730	 best_mIOU_per_class(val) = [[np.float64(0.8578955087742539), np.float64(0.6334322552686108), np.float64(0.02701600601698166), np.float64(0.0), np.float64(0.019722210065210213), np.float64(0.8418781758568741), np.float64(0.417909389612538), np.float64(0.735405987768847), np.float64(0.47271376069935966), np.float64(0.09714626388357611), np.float64(0.0)]]	 best_acc(val) = 0.4512	 lr= 0.000920 

Epoch No.: 17	Train Loss = 1.4376	 mIOU(val) = 0.2904	 best_mIOU_val(val) = 0.3730	 best_mIOU_per_class(val) = [[np.float64(0.8578955087742539), np.float64(0.6334322552686108), np.float64(0.02701600601698166), np.float64(0.0), np.float64(0.019722210065210213), np.float64(0.8418781758568741), np.float64(0.417909389612538), np.float64(0.735405987768847), np.float64(0.47271376069935966), np.float64(0.09714626388357611), np.float64(0.0)]]	 best_acc(val) = 0.4512	 lr= 0.000920 

Epoch No.: 18	Train Loss = 1.4286	 mIOU(val) = 0.2572	 best_mIOU_val(val) = 0.3730	 best_mIOU_per_class(val) = [[np.float64(0.8578955087742539), np.float64(0.6334322552686108), np.float64(0.02701600601698166), np.float64(0.0), np.float64(0.019722210065210213), np.float64(0.8418781758568741), np.float64(0.417909389612538), np.float64(0.735405987768847), np.float64(0.47271376069935966), np.float64(0.09714626388357611), np.float64(0.0)]]	 best_acc(val) = 0.4512	 lr= 0.000920 

Epoch No.: 19	Train Loss = 1.4346	 mIOU(val) = 0.2127	 best_mIOU_val(val) = 0.3730	 best_mIOU_per_class(val) = [[np.float64(0.8578955087742539), np.float64(0.6334322552686108), np.float64(0.02701600601698166), np.float64(0.0), np.float64(0.019722210065210213), np.float64(0.8418781758568741), np.float64(0.417909389612538), np.float64(0.735405987768847), np.float64(0.47271376069935966), np.float64(0.09714626388357611), np.float64(0.0)]]	 best_acc(val) = 0.4512	 lr= 0.000920 

Epoch No.: 20	Train Loss = 1.4237	 mIOU(val) = 0.3642	 best_mIOU_val(val) = 0.3730	 best_mIOU_per_class(val) = [[np.float64(0.8578955087742539), np.float64(0.6334322552686108), np.float64(0.02701600601698166), np.float64(0.0), np.float64(0.019722210065210213), np.float64(0.8418781758568741), np.float64(0.417909389612538), np.float64(0.735405987768847), np.float64(0.47271376069935966), np.float64(0.09714626388357611), np.float64(0.0)]]	 best_acc(val) = 0.4512	 lr= 0.000846 

Epoch No.: 21	Train Loss = 1.4280	 mIOU(val) = 0.3761	 best_mIOU_val(val) = 0.3761	 best_mIOU_per_class(val) = [[np.float64(0.8614658373556499), np.float64(0.6456503821781406), np.float64(0.03650010830426907), np.float64(0.0), np.float64(0.04050071199125741), np.float64(0.8410960227716927), np.float64(0.4295198133672238), np.float64(0.7312114942327923), np.float64(0.46158118126849873), np.float64(0.09002980702924773), np.float64(0.0)]]	 best_acc(val) = 0.4588	 lr= 0.000846 

Epoch No.: 22	Train Loss = 1.4376	 mIOU(val) = 0.3648	 best_mIOU_val(val) = 0.3761	 best_mIOU_per_class(val) = [[np.float64(0.8614658373556499), np.float64(0.6456503821781406), np.float64(0.03650010830426907), np.float64(0.0), np.float64(0.04050071199125741), np.float64(0.8410960227716927), np.float64(0.4295198133672238), np.float64(0.7312114942327923), np.float64(0.46158118126849873), np.float64(0.09002980702924773), np.float64(0.0)]]	 best_acc(val) = 0.4588	 lr= 0.000846 

Epoch No.: 23	Train Loss = 1.4272	 mIOU(val) = 0.3618	 best_mIOU_val(val) = 0.3761	 best_mIOU_per_class(val) = [[np.float64(0.8614658373556499), np.float64(0.6456503821781406), np.float64(0.03650010830426907), np.float64(0.0), np.float64(0.04050071199125741), np.float64(0.8410960227716927), np.float64(0.4295198133672238), np.float64(0.7312114942327923), np.float64(0.46158118126849873), np.float64(0.09002980702924773), np.float64(0.0)]]	 best_acc(val) = 0.4588	 lr= 0.000846 

Epoch No.: 24	Train Loss = 1.4169	 mIOU(val) = 0.3630	 best_mIOU_val(val) = 0.3761	 best_mIOU_per_class(val) = [[np.float64(0.8614658373556499), np.float64(0.6456503821781406), np.float64(0.03650010830426907), np.float64(0.0), np.float64(0.04050071199125741), np.float64(0.8410960227716927), np.float64(0.4295198133672238), np.float64(0.7312114942327923), np.float64(0.46158118126849873), np.float64(0.09002980702924773), np.float64(0.0)]]	 best_acc(val) = 0.4588	 lr= 0.000846 

Epoch No.: 25	Train Loss = 1.4147	 mIOU(val) = 0.3659	 best_mIOU_val(val) = 0.3761	 best_mIOU_per_class(val) = [[np.float64(0.8614658373556499), np.float64(0.6456503821781406), np.float64(0.03650010830426907), np.float64(0.0), np.float64(0.04050071199125741), np.float64(0.8410960227716927), np.float64(0.4295198133672238), np.float64(0.7312114942327923), np.float64(0.46158118126849873), np.float64(0.09002980702924773), np.float64(0.0)]]	 best_acc(val) = 0.4588	 lr= 0.000846 

Epoch No.: 26	Train Loss = 1.4165	 mIOU(val) = 0.3727	 best_mIOU_val(val) = 0.3761	 best_mIOU_per_class(val) = [[np.float64(0.8614658373556499), np.float64(0.6456503821781406), np.float64(0.03650010830426907), np.float64(0.0), np.float64(0.04050071199125741), np.float64(0.8410960227716927), np.float64(0.4295198133672238), np.float64(0.7312114942327923), np.float64(0.46158118126849873), np.float64(0.09002980702924773), np.float64(0.0)]]	 best_acc(val) = 0.4588	 lr= 0.000846 

Epoch No.: 27	Train Loss = 1.4117	 mIOU(val) = 0.3876	 best_mIOU_val(val) = 0.3876	 best_mIOU_per_class(val) = [[np.float64(0.8499960110839997), np.float64(0.6386097842916305), np.float64(0.10560306818718128), np.float64(0.0), np.float64(0.059059352331221907), np.float64(0.8590002622085613), np.float64(0.4370908613003033), np.float64(0.7197972943976939), np.float64(0.5181594885618375), np.float64(0.07574070863483315), np.float64(0.0)]]	 best_acc(val) = 0.4754	 lr= 0.000846 

Epoch No.: 28	Train Loss = 1.4119	 mIOU(val) = 0.3686	 best_mIOU_val(val) = 0.3876	 best_mIOU_per_class(val) = [[np.float64(0.8499960110839997), np.float64(0.6386097842916305), np.float64(0.10560306818718128), np.float64(0.0), np.float64(0.059059352331221907), np.float64(0.8590002622085613), np.float64(0.4370908613003033), np.float64(0.7197972943976939), np.float64(0.5181594885618375), np.float64(0.07574070863483315), np.float64(0.0)]]	 best_acc(val) = 0.4754	 lr= 0.000846 

Epoch No.: 29	Train Loss = 1.4100	 mIOU(val) = 0.3723	 best_mIOU_val(val) = 0.3876	 best_mIOU_per_class(val) = [[np.float64(0.8499960110839997), np.float64(0.6386097842916305), np.float64(0.10560306818718128), np.float64(0.0), np.float64(0.059059352331221907), np.float64(0.8590002622085613), np.float64(0.4370908613003033), np.float64(0.7197972943976939), np.float64(0.5181594885618375), np.float64(0.07574070863483315), np.float64(0.0)]]	 best_acc(val) = 0.4754	 lr= 0.000846 

Epoch No.: 30	Train Loss = 1.4110	 mIOU(val) = 0.3681	 best_mIOU_val(val) = 0.3876	 best_mIOU_per_class(val) = [[np.float64(0.8499960110839997), np.float64(0.6386097842916305), np.float64(0.10560306818718128), np.float64(0.0), np.float64(0.059059352331221907), np.float64(0.8590002622085613), np.float64(0.4370908613003033), np.float64(0.7197972943976939), np.float64(0.5181594885618375), np.float64(0.07574070863483315), np.float64(0.0)]]	 best_acc(val) = 0.4754	 lr= 0.000779 

Epoch No.: 31	Train Loss = 1.4119	 mIOU(val) = 0.3585	 best_mIOU_val(val) = 0.3876	 best_mIOU_per_class(val) = [[np.float64(0.8499960110839997), np.float64(0.6386097842916305), np.float64(0.10560306818718128), np.float64(0.0), np.float64(0.059059352331221907), np.float64(0.8590002622085613), np.float64(0.4370908613003033), np.float64(0.7197972943976939), np.float64(0.5181594885618375), np.float64(0.07574070863483315), np.float64(0.0)]]	 best_acc(val) = 0.4754	 lr= 0.000779 

Epoch No.: 32	Train Loss = 1.4076	 mIOU(val) = 0.3820	 best_mIOU_val(val) = 0.3876	 best_mIOU_per_class(val) = [[np.float64(0.8499960110839997), np.float64(0.6386097842916305), np.float64(0.10560306818718128), np.float64(0.0), np.float64(0.059059352331221907), np.float64(0.8590002622085613), np.float64(0.4370908613003033), np.float64(0.7197972943976939), np.float64(0.5181594885618375), np.float64(0.07574070863483315), np.float64(0.0)]]	 best_acc(val) = 0.4754	 lr= 0.000779 

Epoch No.: 33	Train Loss = 1.4059	 mIOU(val) = 0.3868	 best_mIOU_val(val) = 0.3876	 best_mIOU_per_class(val) = [[np.float64(0.8499960110839997), np.float64(0.6386097842916305), np.float64(0.10560306818718128), np.float64(0.0), np.float64(0.059059352331221907), np.float64(0.8590002622085613), np.float64(0.4370908613003033), np.float64(0.7197972943976939), np.float64(0.5181594885618375), np.float64(0.07574070863483315), np.float64(0.0)]]	 best_acc(val) = 0.4754	 lr= 0.000779 

Epoch No.: 34	Train Loss = 1.4042	 mIOU(val) = 0.3721	 best_mIOU_val(val) = 0.3876	 best_mIOU_per_class(val) = [[np.float64(0.8499960110839997), np.float64(0.6386097842916305), np.float64(0.10560306818718128), np.float64(0.0), np.float64(0.059059352331221907), np.float64(0.8590002622085613), np.float64(0.4370908613003033), np.float64(0.7197972943976939), np.float64(0.5181594885618375), np.float64(0.07574070863483315), np.float64(0.0)]]	 best_acc(val) = 0.4754	 lr= 0.000779 

Epoch No.: 35	Train Loss = 1.4022	 mIOU(val) = 0.3812	 best_mIOU_val(val) = 0.3876	 best_mIOU_per_class(val) = [[np.float64(0.8499960110839997), np.float64(0.6386097842916305), np.float64(0.10560306818718128), np.float64(0.0), np.float64(0.059059352331221907), np.float64(0.8590002622085613), np.float64(0.4370908613003033), np.float64(0.7197972943976939), np.float64(0.5181594885618375), np.float64(0.07574070863483315), np.float64(0.0)]]	 best_acc(val) = 0.4754	 lr= 0.000779 

Epoch No.: 36	Train Loss = 1.3944	 mIOU(val) = 0.3867	 best_mIOU_val(val) = 0.3876	 best_mIOU_per_class(val) = [[np.float64(0.8499960110839997), np.float64(0.6386097842916305), np.float64(0.10560306818718128), np.float64(0.0), np.float64(0.059059352331221907), np.float64(0.8590002622085613), np.float64(0.4370908613003033), np.float64(0.7197972943976939), np.float64(0.5181594885618375), np.float64(0.07574070863483315), np.float64(0.0)]]	 best_acc(val) = 0.4754	 lr= 0.000779 

Epoch No.: 37	Train Loss = 1.3973	 mIOU(val) = 0.3719	 best_mIOU_val(val) = 0.3876	 best_mIOU_per_class(val) = [[np.float64(0.8499960110839997), np.float64(0.6386097842916305), np.float64(0.10560306818718128), np.float64(0.0), np.float64(0.059059352331221907), np.float64(0.8590002622085613), np.float64(0.4370908613003033), np.float64(0.7197972943976939), np.float64(0.5181594885618375), np.float64(0.07574070863483315), np.float64(0.0)]]	 best_acc(val) = 0.4754	 lr= 0.000779 

Epoch No.: 38	Train Loss = 1.4054	 mIOU(val) = 0.3918	 best_mIOU_val(val) = 0.3918	 best_mIOU_per_class(val) = [[np.float64(0.836431525565624), np.float64(0.6543748446486), np.float64(0.09916907793956087), np.float64(0.0), np.float64(0.06413050907958594), np.float64(0.8622429359772487), np.float64(0.43623547931793294), np.float64(0.739243414485677), np.float64(0.5138462730204008), np.float64(0.10369336777539011), np.float64(0.00020683081239546052)]]	 best_acc(val) = 0.4754	 lr= 0.000779 

Epoch No.: 39	Train Loss = 1.3908	 mIOU(val) = 0.3945	 best_mIOU_val(val) = 0.3945	 best_mIOU_per_class(val) = [[np.float64(0.8671303152183066), np.float64(0.6457038817078088), np.float64(0.08421338576565855), np.float64(0.0), np.float64(0.10258806544444408), np.float64(0.8624064493818683), np.float64(0.45562318753667763), np.float64(0.7308284101444049), np.float64(0.5150610351144516), np.float64(0.07586474003503844), np.float64(0.00011688860515928321)]]	 best_acc(val) = 0.4754	 lr= 0.000779 

Epoch No.: 40	Train Loss = 1.3913	 mIOU(val) = 0.3882	 best_mIOU_val(val) = 0.3945	 best_mIOU_per_class(val) = [[np.float64(0.8671303152183066), np.float64(0.6457038817078088), np.float64(0.08421338576565855), np.float64(0.0), np.float64(0.10258806544444408), np.float64(0.8624064493818683), np.float64(0.45562318753667763), np.float64(0.7308284101444049), np.float64(0.5150610351144516), np.float64(0.07586474003503844), np.float64(0.00011688860515928321)]]	 best_acc(val) = 0.4754	 lr= 0.000716 

Epoch No.: 41	Train Loss = 1.3921	 mIOU(val) = 0.3839	 best_mIOU_val(val) = 0.3945	 best_mIOU_per_class(val) = [[np.float64(0.8671303152183066), np.float64(0.6457038817078088), np.float64(0.08421338576565855), np.float64(0.0), np.float64(0.10258806544444408), np.float64(0.8624064493818683), np.float64(0.45562318753667763), np.float64(0.7308284101444049), np.float64(0.5150610351144516), np.float64(0.07586474003503844), np.float64(0.00011688860515928321)]]	 best_acc(val) = 0.4754	 lr= 0.000716 

Epoch No.: 42	Train Loss = 1.3828	 mIOU(val) = 0.3780	 best_mIOU_val(val) = 0.3945	 best_mIOU_per_class(val) = [[np.float64(0.8671303152183066), np.float64(0.6457038817078088), np.float64(0.08421338576565855), np.float64(0.0), np.float64(0.10258806544444408), np.float64(0.8624064493818683), np.float64(0.45562318753667763), np.float64(0.7308284101444049), np.float64(0.5150610351144516), np.float64(0.07586474003503844), np.float64(0.00011688860515928321)]]	 best_acc(val) = 0.4754	 lr= 0.000716 

Epoch No.: 43	Train Loss = 1.3791	 mIOU(val) = 0.3799	 best_mIOU_val(val) = 0.3945	 best_mIOU_per_class(val) = [[np.float64(0.8671303152183066), np.float64(0.6457038817078088), np.float64(0.08421338576565855), np.float64(0.0), np.float64(0.10258806544444408), np.float64(0.8624064493818683), np.float64(0.45562318753667763), np.float64(0.7308284101444049), np.float64(0.5150610351144516), np.float64(0.07586474003503844), np.float64(0.00011688860515928321)]]	 best_acc(val) = 0.4754	 lr= 0.000716 

Epoch No.: 44	Train Loss = 1.3784	 mIOU(val) = 0.3778	 best_mIOU_val(val) = 0.3945	 best_mIOU_per_class(val) = [[np.float64(0.8671303152183066), np.float64(0.6457038817078088), np.float64(0.08421338576565855), np.float64(0.0), np.float64(0.10258806544444408), np.float64(0.8624064493818683), np.float64(0.45562318753667763), np.float64(0.7308284101444049), np.float64(0.5150610351144516), np.float64(0.07586474003503844), np.float64(0.00011688860515928321)]]	 best_acc(val) = 0.4754	 lr= 0.000716 

Epoch No.: 45	Train Loss = 1.3811	 mIOU(val) = 0.3866	 best_mIOU_val(val) = 0.3945	 best_mIOU_per_class(val) = [[np.float64(0.8671303152183066), np.float64(0.6457038817078088), np.float64(0.08421338576565855), np.float64(0.0), np.float64(0.10258806544444408), np.float64(0.8624064493818683), np.float64(0.45562318753667763), np.float64(0.7308284101444049), np.float64(0.5150610351144516), np.float64(0.07586474003503844), np.float64(0.00011688860515928321)]]	 best_acc(val) = 0.4754	 lr= 0.000716 

Epoch No.: 46	Train Loss = 1.3819	 mIOU(val) = 0.3755	 best_mIOU_val(val) = 0.3945	 best_mIOU_per_class(val) = [[np.float64(0.8671303152183066), np.float64(0.6457038817078088), np.float64(0.08421338576565855), np.float64(0.0), np.float64(0.10258806544444408), np.float64(0.8624064493818683), np.float64(0.45562318753667763), np.float64(0.7308284101444049), np.float64(0.5150610351144516), np.float64(0.07586474003503844), np.float64(0.00011688860515928321)]]	 best_acc(val) = 0.4754	 lr= 0.000716 

Epoch No.: 47	Train Loss = 1.3831	 mIOU(val) = 0.3752	 best_mIOU_val(val) = 0.3945	 best_mIOU_per_class(val) = [[np.float64(0.8671303152183066), np.float64(0.6457038817078088), np.float64(0.08421338576565855), np.float64(0.0), np.float64(0.10258806544444408), np.float64(0.8624064493818683), np.float64(0.45562318753667763), np.float64(0.7308284101444049), np.float64(0.5150610351144516), np.float64(0.07586474003503844), np.float64(0.00011688860515928321)]]	 best_acc(val) = 0.4754	 lr= 0.000716 

Epoch No.: 48	Train Loss = 1.3792	 mIOU(val) = 0.3863	 best_mIOU_val(val) = 0.3945	 best_mIOU_per_class(val) = [[np.float64(0.8671303152183066), np.float64(0.6457038817078088), np.float64(0.08421338576565855), np.float64(0.0), np.float64(0.10258806544444408), np.float64(0.8624064493818683), np.float64(0.45562318753667763), np.float64(0.7308284101444049), np.float64(0.5150610351144516), np.float64(0.07586474003503844), np.float64(0.00011688860515928321)]]	 best_acc(val) = 0.4754	 lr= 0.000716 

Epoch No.: 49	Train Loss = 1.3774	 mIOU(val) = 0.3897	 best_mIOU_val(val) = 0.3945	 best_mIOU_per_class(val) = [[np.float64(0.8671303152183066), np.float64(0.6457038817078088), np.float64(0.08421338576565855), np.float64(0.0), np.float64(0.10258806544444408), np.float64(0.8624064493818683), np.float64(0.45562318753667763), np.float64(0.7308284101444049), np.float64(0.5150610351144516), np.float64(0.07586474003503844), np.float64(0.00011688860515928321)]]	 best_acc(val) = 0.4865	 lr= 0.000716 

Epoch No.: 50	Train Loss = 1.3817	 mIOU(val) = 0.3956	 best_mIOU_val(val) = 0.3956	 best_mIOU_per_class(val) = [[np.float64(0.85272404370969), np.float64(0.6585261546597766), np.float64(0.09930093720506573), np.float64(0.0), np.float64(0.0704073688165504), np.float64(0.8709511332297478), np.float64(0.41617813541810345), np.float64(0.7491548798616078), np.float64(0.5270158412661604), np.float64(0.0972186404152327), np.float64(0.009614783175916576)]]	 best_acc(val) = 0.4865	 lr= 0.000659 

Epoch No.: 51	Train Loss = 1.3774	 mIOU(val) = 0.3515	 best_mIOU_val(val) = 0.3956	 best_mIOU_per_class(val) = [[np.float64(0.85272404370969), np.float64(0.6585261546597766), np.float64(0.09930093720506573), np.float64(0.0), np.float64(0.0704073688165504), np.float64(0.8709511332297478), np.float64(0.41617813541810345), np.float64(0.7491548798616078), np.float64(0.5270158412661604), np.float64(0.0972186404152327), np.float64(0.009614783175916576)]]	 best_acc(val) = 0.4865	 lr= 0.000659 

Epoch No.: 52	Train Loss = 1.3774	 mIOU(val) = 0.3805	 best_mIOU_val(val) = 0.3956	 best_mIOU_per_class(val) = [[np.float64(0.85272404370969), np.float64(0.6585261546597766), np.float64(0.09930093720506573), np.float64(0.0), np.float64(0.0704073688165504), np.float64(0.8709511332297478), np.float64(0.41617813541810345), np.float64(0.7491548798616078), np.float64(0.5270158412661604), np.float64(0.0972186404152327), np.float64(0.009614783175916576)]]	 best_acc(val) = 0.4865	 lr= 0.000659 

Epoch No.: 53	Train Loss = 1.3752	 mIOU(val) = 0.3864	 best_mIOU_val(val) = 0.3956	 best_mIOU_per_class(val) = [[np.float64(0.85272404370969), np.float64(0.6585261546597766), np.float64(0.09930093720506573), np.float64(0.0), np.float64(0.0704073688165504), np.float64(0.8709511332297478), np.float64(0.41617813541810345), np.float64(0.7491548798616078), np.float64(0.5270158412661604), np.float64(0.0972186404152327), np.float64(0.009614783175916576)]]	 best_acc(val) = 0.4865	 lr= 0.000659 

Epoch No.: 54	Train Loss = 1.3821	 mIOU(val) = 0.3819	 best_mIOU_val(val) = 0.3956	 best_mIOU_per_class(val) = [[np.float64(0.85272404370969), np.float64(0.6585261546597766), np.float64(0.09930093720506573), np.float64(0.0), np.float64(0.0704073688165504), np.float64(0.8709511332297478), np.float64(0.41617813541810345), np.float64(0.7491548798616078), np.float64(0.5270158412661604), np.float64(0.0972186404152327), np.float64(0.009614783175916576)]]	 best_acc(val) = 0.4865	 lr= 0.000659 

