Parameters: 413508 Seed: 1234
Epoch		Loss(Tr)	mIOU (val)	lr
Epoch No.: 0	Train Loss = 1.6590	 mIOU(val) = 0.2914	 best_mIOU_val(val) = 0.2914	 best_mIOU_per_class(val) = [[0.6986302016167081, 0.8480652464974974, 0.0, 0.20159837420665963, 0.0, 0.0]]	 best_acc(val) = 0.3574	 lr= 0.001000 
Epoch No.: 12	Train Loss = 1.1172	 mIOU(val) = 0.3995	 best_mIOU_val(val) = 0.4033	 best_mIOU_per_class(val) = [[0.7456022028197486, 0.8576015998103893, 0.0, 0.3851973649186158, 0.0, 0.43162320969518914]]	 best_acc(val) = 0.5104	 lr= 0.000846 

Epoch No.: 13	Train Loss = 1.1237	 mIOU(val) = 0.3928	 best_mIOU_val(val) = 0.4033	 best_mIOU_per_class(val) = [[0.7456022028197486, 0.8576015998103893, 0.0, 0.3851973649186158, 0.0, 0.43162320969518914]]	 best_acc(val) = 0.5104	 lr= 0.000846 

Epoch No.: 14	Train Loss = 1.1180	 mIOU(val) = 0.3913	 best_mIOU_val(val) = 0.4033	 best_mIOU_per_class(val) = [[0.7456022028197486, 0.8576015998103893, 0.0, 0.3851973649186158, 0.0, 0.43162320969518914]]	 best_acc(val) = 0.5104	 lr= 0.000846 

Epoch No.: 15	Train Loss = 1.1146	 mIOU(val) = 0.3993	 best_mIOU_val(val) = 0.4033	 best_mIOU_per_class(val) = [[0.7456022028197486, 0.8576015998103893, 0.0, 0.3851973649186158, 0.0, 0.43162320969518914]]	 best_acc(val) = 0.5104	 lr= 0.000779 

Epoch No.: 16	Train Loss = 1.1136	 mIOU(val) = 0.3995	 best_mIOU_val(val) = 0.4033	 best_mIOU_per_class(val) = [[0.7456022028197486, 0.8576015998103893, 0.0, 0.3851973649186158, 0.0, 0.43162320969518914]]	 best_acc(val) = 0.5104	 lr= 0.000779 

Epoch No.: 17	Train Loss = 1.1101	 mIOU(val) = 0.4011	 best_mIOU_val(val) = 0.4033	 best_mIOU_per_class(val) = [[0.7456022028197486, 0.8576015998103893, 0.0, 0.3851973649186158, 0.0, 0.43162320969518914]]	 best_acc(val) = 0.5104	 lr= 0.000779 

Epoch No.: 18	Train Loss = 1.1058	 mIOU(val) = 0.4085	 best_mIOU_val(val) = 0.4085	 best_mIOU_per_class(val) = [[0.7424125126983571, 0.8501274830703969, 0.00045513654096228866, 0.4029531165066712, 0.0, 0.45487028306642524]]	 best_acc(val) = 0.5104	 lr= 0.000779 

Epoch No.: 19	Train Loss = 1.0997	 mIOU(val) = 0.4056	 best_mIOU_val(val) = 0.4085	 best_mIOU_per_class(val) = [[0.7424125126983571, 0.8501274830703969, 0.00045513654096228866, 0.4029531165066712, 0.0, 0.45487028306642524]]	 best_acc(val) = 0.5104	 lr= 0.000779 

Epoch No.: 20	Train Loss = 1.1022	 mIOU(val) = 0.4063	 best_mIOU_val(val) = 0.4085	 best_mIOU_per_class(val) = [[0.7424125126983571, 0.8501274830703969, 0.00045513654096228866, 0.4029531165066712, 0.0, 0.45487028306642524]]	 best_acc(val) = 0.5104	 lr= 0.000716 

Epoch No.: 21	Train Loss = 1.1065	 mIOU(val) = 0.4007	 best_mIOU_val(val) = 0.4085	 best_mIOU_per_class(val) = [[0.7424125126983571, 0.8501274830703969, 0.00045513654096228866, 0.4029531165066712, 0.0, 0.45487028306642524]]	 best_acc(val) = 0.5104	 lr= 0.000716 

Epoch No.: 22	Train Loss = 1.1074	 mIOU(val) = 0.3846	 best_mIOU_val(val) = 0.4085	 best_mIOU_per_class(val) = [[0.7424125126983571, 0.8501274830703969, 0.00045513654096228866, 0.4029531165066712, 0.0, 0.45487028306642524]]	 best_acc(val) = 0.5104	 lr= 0.000716 

Epoch No.: 23	Train Loss = 1.1032	 mIOU(val) = 0.4069	 best_mIOU_val(val) = 0.4085	 best_mIOU_per_class(val) = [[0.7424125126983571, 0.8501274830703969, 0.00045513654096228866, 0.4029531165066712, 0.0, 0.45487028306642524]]	 best_acc(val) = 0.5104	 lr= 0.000716 

Epoch No.: 24	Train Loss = 1.1042	 mIOU(val) = 0.3766	 best_mIOU_val(val) = 0.4085	 best_mIOU_per_class(val) = [[0.7424125126983571, 0.8501274830703969, 0.00045513654096228866, 0.4029531165066712, 0.0, 0.45487028306642524]]	 best_acc(val) = 0.5104	 lr= 0.000716 

Epoch No.: 25	Train Loss = 1.1070	 mIOU(val) = 0.3905	 best_mIOU_val(val) = 0.4085	 best_mIOU_per_class(val) = [[0.7424125126983571, 0.8501274830703969, 0.00045513654096228866, 0.4029531165066712, 0.0, 0.45487028306642524]]	 best_acc(val) = 0.5104	 lr= 0.000659 

Epoch No.: 26	Train Loss = 1.1083	 mIOU(val) = 0.3903	 best_mIOU_val(val) = 0.4085	 best_mIOU_per_class(val) = [[0.7424125126983571, 0.8501274830703969, 0.00045513654096228866, 0.4029531165066712, 0.0, 0.45487028306642524]]	 best_acc(val) = 0.5104	 lr= 0.000659 

Epoch No.: 27	Train Loss = 1.1043	 mIOU(val) = 0.3979	 best_mIOU_val(val) = 0.4085	 best_mIOU_per_class(val) = [[0.7424125126983571, 0.8501274830703969, 0.00045513654096228866, 0.4029531165066712, 0.0, 0.45487028306642524]]	 best_acc(val) = 0.5133	 lr= 0.000659 

Epoch No.: 28	Train Loss = 1.1040	 mIOU(val) = 0.3977	 best_mIOU_val(val) = 0.4085	 best_mIOU_per_class(val) = [[0.7424125126983571, 0.8501274830703969, 0.00045513654096228866, 0.4029531165066712, 0.0, 0.45487028306642524]]	 best_acc(val) = 0.5133	 lr= 0.000659 

Epoch No.: 29	Train Loss = 1.1032	 mIOU(val) = 0.3880	 best_mIOU_val(val) = 0.4085	 best_mIOU_per_class(val) = [[0.7424125126983571, 0.8501274830703969, 0.00045513654096228866, 0.4029531165066712, 0.0, 0.45487028306642524]]	 best_acc(val) = 0.5133	 lr= 0.000659 

Epoch No.: 30	Train Loss = 1.1016	 mIOU(val) = 0.4812	 best_mIOU_val(val) = 0.4812	 best_mIOU_per_class(val) = [[0.7573683209735691, 0.8724548633044908, 0.0, 0.43840155629407473, 0.37125048694974677, 0.4474718365208279]]	 best_acc(val) = 0.6094	 lr= 0.000606 

Epoch No.: 31	Train Loss = 1.0994	 mIOU(val) = 0.4522	 best_mIOU_val(val) = 0.4812	 best_mIOU_per_class(val) = [[0.7573683209735691, 0.8724548633044908, 0.0, 0.43840155629407473, 0.37125048694974677, 0.4474718365208279]]	 best_acc(val) = 0.6094	 lr= 0.000606 

Epoch No.: 32	Train Loss = 1.0980	 mIOU(val) = 0.4557	 best_mIOU_val(val) = 0.4812	 best_mIOU_per_class(val) = [[0.7573683209735691, 0.8724548633044908, 0.0, 0.43840155629407473, 0.37125048694974677, 0.4474718365208279]]	 best_acc(val) = 0.6094	 lr= 0.000606 

Epoch No.: 33	Train Loss = 1.0930	 mIOU(val) = 0.4277	 best_mIOU_val(val) = 0.4812	 best_mIOU_per_class(val) = [[0.7573683209735691, 0.8724548633044908, 0.0, 0.43840155629407473, 0.37125048694974677, 0.4474718365208279]]	 best_acc(val) = 0.6094	 lr= 0.000606 

Epoch No.: 34	Train Loss = 1.0925	 mIOU(val) = 0.3989	 best_mIOU_val(val) = 0.4812	 best_mIOU_per_class(val) = [[0.7573683209735691, 0.8724548633044908, 0.0, 0.43840155629407473, 0.37125048694974677, 0.4474718365208279]]	 best_acc(val) = 0.6094	 lr= 0.000606 

Epoch No.: 35	Train Loss = 1.0907	 mIOU(val) = 0.4105	 best_mIOU_val(val) = 0.4812	 best_mIOU_per_class(val) = [[0.7573683209735691, 0.8724548633044908, 0.0, 0.43840155629407473, 0.37125048694974677, 0.4474718365208279]]	 best_acc(val) = 0.6094	 lr= 0.000558 

Epoch No.: 36	Train Loss = 1.0882	 mIOU(val) = 0.4566	 best_mIOU_val(val) = 0.4812	 best_mIOU_per_class(val) = [[0.7573683209735691, 0.8724548633044908, 0.0, 0.43840155629407473, 0.37125048694974677, 0.4474718365208279]]	 best_acc(val) = 0.6094	 lr= 0.000558 

Epoch No.: 37	Train Loss = 1.0861	 mIOU(val) = 0.4866	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6103	 lr= 0.000558 

Epoch No.: 38	Train Loss = 1.0898	 mIOU(val) = 0.4747	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6103	 lr= 0.000558 

Epoch No.: 39	Train Loss = 1.0897	 mIOU(val) = 0.4713	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6150	 lr= 0.000558 

Epoch No.: 40	Train Loss = 1.0891	 mIOU(val) = 0.4419	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6150	 lr= 0.000513 

Epoch No.: 41	Train Loss = 1.0878	 mIOU(val) = 0.4545	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6150	 lr= 0.000513 

Epoch No.: 42	Train Loss = 1.0891	 mIOU(val) = 0.4811	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000513 

Epoch No.: 43	Train Loss = 1.0887	 mIOU(val) = 0.4274	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000513 

Epoch No.: 44	Train Loss = 1.0916	 mIOU(val) = 0.4454	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000513 

Epoch No.: 45	Train Loss = 1.0924	 mIOU(val) = 0.4852	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000472 

Epoch No.: 46	Train Loss = 1.0925	 mIOU(val) = 0.4777	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000472 

Epoch No.: 47	Train Loss = 1.0916	 mIOU(val) = 0.4814	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000472 

Epoch No.: 48	Train Loss = 1.0905	 mIOU(val) = 0.4842	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000472 

Epoch No.: 49	Train Loss = 1.0896	 mIOU(val) = 0.4480	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000472 

Epoch No.: 50	Train Loss = 1.0884	 mIOU(val) = 0.4722	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000434 

Epoch No.: 51	Train Loss = 1.0887	 mIOU(val) = 0.4295	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000434 

Epoch No.: 52	Train Loss = 1.0863	 mIOU(val) = 0.4651	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000434 

Epoch No.: 53	Train Loss = 1.0848	 mIOU(val) = 0.4273	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000434 

Epoch No.: 54	Train Loss = 1.0811	 mIOU(val) = 0.4657	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000434 

Epoch No.: 55	Train Loss = 1.0817	 mIOU(val) = 0.4657	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000400 

Epoch No.: 56	Train Loss = 1.0833	 mIOU(val) = 0.4857	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000400 

Epoch No.: 57	Train Loss = 1.0821	 mIOU(val) = 0.4470	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000400 

Epoch No.: 58	Train Loss = 1.0792	 mIOU(val) = 0.4476	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000400 

Epoch No.: 59	Train Loss = 1.0817	 mIOU(val) = 0.4471	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000400 

Epoch No.: 60	Train Loss = 1.0800	 mIOU(val) = 0.4779	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000368 

Epoch No.: 61	Train Loss = 1.0834	 mIOU(val) = 0.4635	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000368 

Epoch No.: 62	Train Loss = 1.0831	 mIOU(val) = 0.4586	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000368 

Epoch No.: 63	Train Loss = 1.0817	 mIOU(val) = 0.4844	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000368 

Epoch No.: 64	Train Loss = 1.0822	 mIOU(val) = 0.4434	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000368 

Epoch No.: 65	Train Loss = 1.0826	 mIOU(val) = 0.4674	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000338 

Epoch No.: 66	Train Loss = 1.0831	 mIOU(val) = 0.4610	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000338 

Epoch No.: 67	Train Loss = 1.0804	 mIOU(val) = 0.4731	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000338 

Epoch No.: 68	Train Loss = 1.0818	 mIOU(val) = 0.4717	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000338 

Epoch No.: 69	Train Loss = 1.0797	 mIOU(val) = 0.4224	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000338 

Epoch No.: 70	Train Loss = 1.0801	 mIOU(val) = 0.4596	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000311 

Epoch No.: 71	Train Loss = 1.0806	 mIOU(val) = 0.4648	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000311 

Epoch No.: 72	Train Loss = 1.0821	 mIOU(val) = 0.4628	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000311 

Epoch No.: 73	Train Loss = 1.0821	 mIOU(val) = 0.4588	 best_mIOU_val(val) = 0.4866	 best_mIOU_per_class(val) = [[0.7608790465424703, 0.8683094367773219, 0.017096673919801058, 0.37121910311497663, 0.4391785150078989, 0.46307461153692536]]	 best_acc(val) = 0.6302	 lr= 0.000311 

Epoch No.: 74	Train Loss = 1.0789	 mIOU(val) = 0.4885	 best_mIOU_val(val) = 0.4885	 best_mIOU_per_class(val) = [[0.7408878477286389, 0.8659562540188068, 0.018926484907497567, 0.4094725421076895, 0.48543254146122816, 0.4100311353617559]]	 best_acc(val) = 0.6302	 lr= 0.000311 

Epoch No.: 75	Train Loss = 1.0785	 mIOU(val) = 0.4717	 best_mIOU_val(val) = 0.4885	 best_mIOU_per_class(val) = [[0.7408878477286389, 0.8659562540188068, 0.018926484907497567, 0.4094725421076895, 0.48543254146122816, 0.4100311353617559]]	 best_acc(val) = 0.6302	 lr= 0.000286 

Epoch No.: 76	Train Loss = 1.0795	 mIOU(val) = 0.4843	 best_mIOU_val(val) = 0.4885	 best_mIOU_per_class(val) = [[0.7408878477286389, 0.8659562540188068, 0.018926484907497567, 0.4094725421076895, 0.48543254146122816, 0.4100311353617559]]	 best_acc(val) = 0.6302	 lr= 0.000286 

Epoch No.: 77	Train Loss = 1.0797	 mIOU(val) = 0.4469	 best_mIOU_val(val) = 0.4885	 best_mIOU_per_class(val) = [[0.7408878477286389, 0.8659562540188068, 0.018926484907497567, 0.4094725421076895, 0.48543254146122816, 0.4100311353617559]]	 best_acc(val) = 0.6302	 lr= 0.000286 

Epoch No.: 78	Train Loss = 1.0789	 mIOU(val) = 0.4836	 best_mIOU_val(val) = 0.4885	 best_mIOU_per_class(val) = [[0.7408878477286389, 0.8659562540188068, 0.018926484907497567, 0.4094725421076895, 0.48543254146122816, 0.4100311353617559]]	 best_acc(val) = 0.6302	 lr= 0.000286 

Epoch No.: 79	Train Loss = 1.0815	 mIOU(val) = 0.4478	 best_mIOU_val(val) = 0.4885	 best_mIOU_per_class(val) = [[0.7408878477286389, 0.8659562540188068, 0.018926484907497567, 0.4094725421076895, 0.48543254146122816, 0.4100311353617559]]	 best_acc(val) = 0.6302	 lr= 0.000286 

Epoch No.: 80	Train Loss = 1.0802	 mIOU(val) = 0.4643	 best_mIOU_val(val) = 0.4885	 best_mIOU_per_class(val) = [[0.7408878477286389, 0.8659562540188068, 0.018926484907497567, 0.4094725421076895, 0.48543254146122816, 0.4100311353617559]]	 best_acc(val) = 0.6302	 lr= 0.000263 

Epoch No.: 81	Train Loss = 1.0818	 mIOU(val) = 0.4318	 best_mIOU_val(val) = 0.4885	 best_mIOU_per_class(val) = [[0.7408878477286389, 0.8659562540188068, 0.018926484907497567, 0.4094725421076895, 0.48543254146122816, 0.4100311353617559]]	 best_acc(val) = 0.6302	 lr= 0.000263 

Epoch No.: 82	Train Loss = 1.0837	 mIOU(val) = 0.4478	 best_mIOU_val(val) = 0.4885	 best_mIOU_per_class(val) = [[0.7408878477286389, 0.8659562540188068, 0.018926484907497567, 0.4094725421076895, 0.48543254146122816, 0.4100311353617559]]	 best_acc(val) = 0.6302	 lr= 0.000263 

Epoch No.: 83	Train Loss = 1.0830	 mIOU(val) = 0.4970	 best_mIOU_val(val) = 0.4970	 best_mIOU_per_class(val) = [[0.7496427249102919, 0.8695038949642537, 0.006256319514661274, 0.42681077372851617, 0.4897119341563786, 0.4398390454167347]]	 best_acc(val) = 0.6302	 lr= 0.000263 

Epoch No.: 84	Train Loss = 1.0830	 mIOU(val) = 0.4504	 best_mIOU_val(val) = 0.4970	 best_mIOU_per_class(val) = [[0.7496427249102919, 0.8695038949642537, 0.006256319514661274, 0.42681077372851617, 0.4897119341563786, 0.4398390454167347]]	 best_acc(val) = 0.6302	 lr= 0.000263 

Epoch No.: 85	Train Loss = 1.0817	 mIOU(val) = 0.4639	 best_mIOU_val(val) = 0.4970	 best_mIOU_per_class(val) = [[0.7496427249102919, 0.8695038949642537, 0.006256319514661274, 0.42681077372851617, 0.4897119341563786, 0.4398390454167347]]	 best_acc(val) = 0.6302	 lr= 0.000242 

Epoch No.: 86	Train Loss = 1.0825	 mIOU(val) = 0.4505	 best_mIOU_val(val) = 0.4970	 best_mIOU_per_class(val) = [[0.7496427249102919, 0.8695038949642537, 0.006256319514661274, 0.42681077372851617, 0.4897119341563786, 0.4398390454167347]]	 best_acc(val) = 0.6302	 lr= 0.000242 

