Parameters: 405492 Seed: 1234
Epoch		Loss(Tr)	mIOU (val)	lr
Epoch No.: 0	Train Loss = 2.3669	 mIOU(val) = 0.0672	 best_mIOU_val(val) = 0.0672	 best_mIOU_per_class(val) = [[0.0001742123545814423, 0.0007093032459653094, 0.0, 0.0, 0.0, 0.47749144571499624, 0.0, 0.26114283586366793, 0.0, 0.0, 0.0]]	 best_acc(val) = 0.1361	 lr= 0.001000 
Epoch No.: 26	Train Loss = 1.4067	 mIOU(val) = 0.3903	 best_mIOU_val(val) = 0.3953	 best_mIOU_per_class(val) = [[0.8642592234753675, 0.6669605032876869, 0.047215856524994035, 0.0, 0.03213701311707109, 0.8689145709360158, 0.4885158681177714, 0.7600115655015348, 0.5532542435474657, 0.06730772656503291, 0.0]]	 best_acc(val) = 0.4773	 lr= 0.000846 

Epoch No.: 27	Train Loss = 1.4058	 mIOU(val) = 0.3605	 best_mIOU_val(val) = 0.3953	 best_mIOU_per_class(val) = [[0.8642592234753675, 0.6669605032876869, 0.047215856524994035, 0.0, 0.03213701311707109, 0.8689145709360158, 0.4885158681177714, 0.7600115655015348, 0.5532542435474657, 0.06730772656503291, 0.0]]	 best_acc(val) = 0.4773	 lr= 0.000846 

Epoch No.: 28	Train Loss = 1.4095	 mIOU(val) = 0.3897	 best_mIOU_val(val) = 0.3953	 best_mIOU_per_class(val) = [[0.8642592234753675, 0.6669605032876869, 0.047215856524994035, 0.0, 0.03213701311707109, 0.8689145709360158, 0.4885158681177714, 0.7600115655015348, 0.5532542435474657, 0.06730772656503291, 0.0]]	 best_acc(val) = 0.4773	 lr= 0.000846 

Epoch No.: 29	Train Loss = 1.4079	 mIOU(val) = 0.3914	 best_mIOU_val(val) = 0.3953	 best_mIOU_per_class(val) = [[0.8642592234753675, 0.6669605032876869, 0.047215856524994035, 0.0, 0.03213701311707109, 0.8689145709360158, 0.4885158681177714, 0.7600115655015348, 0.5532542435474657, 0.06730772656503291, 0.0]]	 best_acc(val) = 0.4786	 lr= 0.000846 

Epoch No.: 30	Train Loss = 1.4040	 mIOU(val) = 0.3876	 best_mIOU_val(val) = 0.3953	 best_mIOU_per_class(val) = [[0.8642592234753675, 0.6669605032876869, 0.047215856524994035, 0.0, 0.03213701311707109, 0.8689145709360158, 0.4885158681177714, 0.7600115655015348, 0.5532542435474657, 0.06730772656503291, 0.0]]	 best_acc(val) = 0.4786	 lr= 0.000779 

Epoch No.: 31	Train Loss = 1.3998	 mIOU(val) = 0.4027	 best_mIOU_val(val) = 0.4027	 best_mIOU_per_class(val) = [[0.8669596712689852, 0.6709436864215673, 0.049571233247853015, 0.0, 0.05257084963273577, 0.8801627012697242, 0.5065112246844881, 0.7660510356951535, 0.5779616127159097, 0.05875010518639028, 6.286879282936512e-05]]	 best_acc(val) = 0.4786	 lr= 0.000779 

Epoch No.: 32	Train Loss = 1.4041	 mIOU(val) = 0.3015	 best_mIOU_val(val) = 0.4027	 best_mIOU_per_class(val) = [[0.8669596712689852, 0.6709436864215673, 0.049571233247853015, 0.0, 0.05257084963273577, 0.8801627012697242, 0.5065112246844881, 0.7660510356951535, 0.5779616127159097, 0.05875010518639028, 6.286879282936512e-05]]	 best_acc(val) = 0.4786	 lr= 0.000779 

Epoch No.: 33	Train Loss = 1.4058	 mIOU(val) = 0.4013	 best_mIOU_val(val) = 0.4027	 best_mIOU_per_class(val) = [[0.8669596712689852, 0.6709436864215673, 0.049571233247853015, 0.0, 0.05257084963273577, 0.8801627012697242, 0.5065112246844881, 0.7660510356951535, 0.5779616127159097, 0.05875010518639028, 6.286879282936512e-05]]	 best_acc(val) = 0.4786	 lr= 0.000779 

Epoch No.: 34	Train Loss = 1.4028	 mIOU(val) = 0.4068	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4819	 lr= 0.000779 

Epoch No.: 35	Train Loss = 1.3997	 mIOU(val) = 0.3908	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4819	 lr= 0.000779 

Epoch No.: 36	Train Loss = 1.3994	 mIOU(val) = 0.3684	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4819	 lr= 0.000779 

Epoch No.: 37	Train Loss = 1.4007	 mIOU(val) = 0.3622	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4819	 lr= 0.000779 

Epoch No.: 38	Train Loss = 1.3972	 mIOU(val) = 0.3818	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4819	 lr= 0.000779 

Epoch No.: 39	Train Loss = 1.3958	 mIOU(val) = 0.4048	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000779 

Epoch No.: 40	Train Loss = 1.3979	 mIOU(val) = 0.2385	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000716 

Epoch No.: 41	Train Loss = 1.3979	 mIOU(val) = 0.3018	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000716 

Epoch No.: 42	Train Loss = 1.3963	 mIOU(val) = 0.3440	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000716 

Epoch No.: 43	Train Loss = 1.3895	 mIOU(val) = 0.3457	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000716 

Epoch No.: 44	Train Loss = 1.3907	 mIOU(val) = 0.4029	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000716 

Epoch No.: 45	Train Loss = 1.3979	 mIOU(val) = 0.4045	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000716 

Epoch No.: 46	Train Loss = 1.3920	 mIOU(val) = 0.4024	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000716 

Epoch No.: 47	Train Loss = 1.3974	 mIOU(val) = 0.4044	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000716 

Epoch No.: 48	Train Loss = 1.3994	 mIOU(val) = 0.4034	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000716 

Epoch No.: 49	Train Loss = 1.3891	 mIOU(val) = 0.4067	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000716 

Epoch No.: 50	Train Loss = 1.4124	 mIOU(val) = 0.3667	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000659 

Epoch No.: 51	Train Loss = 1.4105	 mIOU(val) = 0.3661	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000659 

Epoch No.: 52	Train Loss = 1.3931	 mIOU(val) = 0.3919	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000659 

Epoch No.: 53	Train Loss = 1.3867	 mIOU(val) = 0.4023	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000659 

Epoch No.: 54	Train Loss = 1.3860	 mIOU(val) = 0.3999	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000659 

Epoch No.: 55	Train Loss = 1.3844	 mIOU(val) = 0.4002	 best_mIOU_val(val) = 0.4068	 best_mIOU_per_class(val) = [[0.8811992961670859, 0.6776708911703561, 0.07889473522262223, 0.0, 0.07812484637544367, 0.8801779686660126, 0.4838332128459927, 0.759347309289117, 0.5653627056934516, 0.06986050065080832, 0.0004489902209929868]]	 best_acc(val) = 0.4958	 lr= 0.000659 

Epoch No.: 56	Train Loss = 1.3804	 mIOU(val) = 0.4088	 best_mIOU_val(val) = 0.4088	 best_mIOU_per_class(val) = [[0.8879811476873474, 0.6712168962060571, 0.06845316602364195, 0.0, 0.09144747013706366, 0.8830232786129372, 0.47637659798649135, 0.7583261657372637, 0.5659221847855058, 0.08228726975105986, 0.012030483056705135]]	 best_acc(val) = 0.4958	 lr= 0.000659 

Epoch No.: 57	Train Loss = 1.3828	 mIOU(val) = 0.4041	 best_mIOU_val(val) = 0.4088	 best_mIOU_per_class(val) = [[0.8879811476873474, 0.6712168962060571, 0.06845316602364195, 0.0, 0.09144747013706366, 0.8830232786129372, 0.47637659798649135, 0.7583261657372637, 0.5659221847855058, 0.08228726975105986, 0.012030483056705135]]	 best_acc(val) = 0.4958	 lr= 0.000659 

Epoch No.: 58	Train Loss = 1.3849	 mIOU(val) = 0.4070	 best_mIOU_val(val) = 0.4088	 best_mIOU_per_class(val) = [[0.8879811476873474, 0.6712168962060571, 0.06845316602364195, 0.0, 0.09144747013706366, 0.8830232786129372, 0.47637659798649135, 0.7583261657372637, 0.5659221847855058, 0.08228726975105986, 0.012030483056705135]]	 best_acc(val) = 0.4958	 lr= 0.000659 

Epoch No.: 59	Train Loss = 1.3910	 mIOU(val) = 0.4040	 best_mIOU_val(val) = 0.4088	 best_mIOU_per_class(val) = [[0.8879811476873474, 0.6712168962060571, 0.06845316602364195, 0.0, 0.09144747013706366, 0.8830232786129372, 0.47637659798649135, 0.7583261657372637, 0.5659221847855058, 0.08228726975105986, 0.012030483056705135]]	 best_acc(val) = 0.4958	 lr= 0.000659 

Epoch No.: 60	Train Loss = 1.3833	 mIOU(val) = 0.4128	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000606 

Epoch No.: 61	Train Loss = 1.3826	 mIOU(val) = 0.4103	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000606 

Epoch No.: 62	Train Loss = 1.3940	 mIOU(val) = 0.3934	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000606 

Epoch No.: 63	Train Loss = 1.3826	 mIOU(val) = 0.4025	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000606 

Epoch No.: 64	Train Loss = 1.3835	 mIOU(val) = 0.3971	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000606 

Epoch No.: 65	Train Loss = 1.3846	 mIOU(val) = 0.3927	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000606 

Epoch No.: 66	Train Loss = 1.3861	 mIOU(val) = 0.3954	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000606 

Epoch No.: 67	Train Loss = 1.3798	 mIOU(val) = 0.3770	 best_mIOU_val(val) = 0.4128	 best_mIOU_per_class(val) = [[0.8667511664582835, 0.6717336843722576, 0.10482197940652561, 0.0, 0.08427258539968788, 0.873901591178887, 0.5017400033765324, 0.7699092864055991, 0.5830500617568188, 0.0762867212426182, 0.008711306256860592]]	 best_acc(val) = 0.4958	 lr= 0.000606 

